id,cwe,cwe_name,label,code
VULN-CWE120-001,CWE-120,Buffer Copy without Checking Size of Input,1,"
void process_user_input_0(const char *input) {
    char buffer[128];
    // Unbounded string copy vulnerability
    strcpy(buffer, input);
    printf(""User input: %s\n"", buffer);
}
"
VULN-CWE122-001,CWE-122,Heap-based Buffer Overflow,1,"
char* allocate_and_copy_0(const char *src, int len) {
    char *dest = (char*)malloc(100);
    // Unchecked heap copy with potential overflow
    for (int j = 0; j < len; j++) {
        dest[j] = src[j];
    }
    return dest;
}
"
SEC-CWE120-001,CWE-120,Secure Bounded String Copy,0,"
void process_user_input_safe_0(const char *input) {
    char buffer[128];
    if (input == NULL) return;
    // Safe bounded string copy
    strncpy(buffer, input, sizeof(buffer) - 1);
    buffer[sizeof(buffer) - 1] = '\0';
    printf(""User input: %s\n"", buffer);
}
"
SEC-CWE122-001,CWE-122,Secure Heap Allocation with Bounds Check,0,"
char* allocate_and_copy_safe_0(const char *src, size_t len) {
    if (src == NULL || len == 0 || len > 4096) return NULL;
    char *dest = (char*)malloc(len + 1);
    if (dest == NULL) return NULL;
    memcpy(dest, src, len);
    dest[len] = '\0';
    return dest;
}
"
VULN-CWE120-002,CWE-120,Buffer Copy without Checking Size of Input,1,"
void process_user_input_1(const char *input) {
    char buffer[128];
    // Unbounded string copy vulnerability
    strcpy(buffer, input);
    printf(""User input: %s\n"", buffer);
}
"
VULN-CWE122-002,CWE-122,Heap-based Buffer Overflow,1,"
char* allocate_and_copy_1(const char *src, int len) {
    char *dest = (char*)malloc(100);
    // Unchecked heap copy with potential overflow
    for (int j = 0; j < len; j++) {
        dest[j] = src[j];
    }
    return dest;
}
"
SEC-CWE120-002,CWE-120,Secure Bounded String Copy,0,"
void process_user_input_safe_1(const char *input) {
    char buffer[128];
    if (input == NULL) return;
    // Safe bounded string copy
    strncpy(buffer, input, sizeof(buffer) - 1);
    buffer[sizeof(buffer) - 1] = '\0';
    printf(""User input: %s\n"", buffer);
}
"
SEC-CWE122-002,CWE-122,Secure Heap Allocation with Bounds Check,0,"
char* allocate_and_copy_safe_1(const char *src, size_t len) {
    if (src == NULL || len == 0 || len > 4096) return NULL;
    char *dest = (char*)malloc(len + 1);
    if (dest == NULL) return NULL;
    memcpy(dest, src, len);
    dest[len] = '\0';
    return dest;
}
"
VULN-CWE120-003,CWE-120,Buffer Copy without Checking Size of Input,1,"
void process_user_input_2(const char *input) {
    char buffer[128];
    // Unbounded string copy vulnerability
    strcpy(buffer, input);
    printf(""User input: %s\n"", buffer);
}
"
VULN-CWE122-003,CWE-122,Heap-based Buffer Overflow,1,"
char* allocate_and_copy_2(const char *src, int len) {
    char *dest = (char*)malloc(100);
    // Unchecked heap copy with potential overflow
    for (int j = 0; j < len; j++) {
        dest[j] = src[j];
    }
    return dest;
}
"
SEC-CWE120-003,CWE-120,Secure Bounded String Copy,0,"
void process_user_input_safe_2(const char *input) {
    char buffer[128];
    if (input == NULL) return;
    // Safe bounded string copy
    strncpy(buffer, input, sizeof(buffer) - 1);
    buffer[sizeof(buffer) - 1] = '\0';
    printf(""User input: %s\n"", buffer);
}
"
SEC-CWE122-003,CWE-122,Secure Heap Allocation with Bounds Check,0,"
char* allocate_and_copy_safe_2(const char *src, size_t len) {
    if (src == NULL || len == 0 || len > 4096) return NULL;
    char *dest = (char*)malloc(len + 1);
    if (dest == NULL) return NULL;
    memcpy(dest, src, len);
    dest[len] = '\0';
    return dest;
}
"
VULN-CWE120-004,CWE-120,Buffer Copy without Checking Size of Input,1,"
void process_user_input_3(const char *input) {
    char buffer[128];
    // Unbounded string copy vulnerability
    strcpy(buffer, input);
    printf(""User input: %s\n"", buffer);
}
"
VULN-CWE122-004,CWE-122,Heap-based Buffer Overflow,1,"
char* allocate_and_copy_3(const char *src, int len) {
    char *dest = (char*)malloc(100);
    // Unchecked heap copy with potential overflow
    for (int j = 0; j < len; j++) {
        dest[j] = src[j];
    }
    return dest;
}
"
SEC-CWE120-004,CWE-120,Secure Bounded String Copy,0,"
void process_user_input_safe_3(const char *input) {
    char buffer[128];
    if (input == NULL) return;
    // Safe bounded string copy
    strncpy(buffer, input, sizeof(buffer) - 1);
    buffer[sizeof(buffer) - 1] = '\0';
    printf(""User input: %s\n"", buffer);
}
"
SEC-CWE122-004,CWE-122,Secure Heap Allocation with Bounds Check,0,"
char* allocate_and_copy_safe_3(const char *src, size_t len) {
    if (src == NULL || len == 0 || len > 4096) return NULL;
    char *dest = (char*)malloc(len + 1);
    if (dest == NULL) return NULL;
    memcpy(dest, src, len);
    dest[len] = '\0';
    return dest;
}
"
VULN-CWE120-005,CWE-120,Buffer Copy without Checking Size of Input,1,"
void process_user_input_4(const char *input) {
    char buffer[128];
    // Unbounded string copy vulnerability
    strcpy(buffer, input);
    printf(""User input: %s\n"", buffer);
}
"
VULN-CWE122-005,CWE-122,Heap-based Buffer Overflow,1,"
char* allocate_and_copy_4(const char *src, int len) {
    char *dest = (char*)malloc(100);
    // Unchecked heap copy with potential overflow
    for (int j = 0; j < len; j++) {
        dest[j] = src[j];
    }
    return dest;
}
"
SEC-CWE120-005,CWE-120,Secure Bounded String Copy,0,"
void process_user_input_safe_4(const char *input) {
    char buffer[128];
    if (input == NULL) return;
    // Safe bounded string copy
    strncpy(buffer, input, sizeof(buffer) - 1);
    buffer[sizeof(buffer) - 1] = '\0';
    printf(""User input: %s\n"", buffer);
}
"
SEC-CWE122-005,CWE-122,Secure Heap Allocation with Bounds Check,0,"
char* allocate_and_copy_safe_4(const char *src, size_t len) {
    if (src == NULL || len == 0 || len > 4096) return NULL;
    char *dest = (char*)malloc(len + 1);
    if (dest == NULL) return NULL;
    memcpy(dest, src, len);
    dest[len] = '\0';
    return dest;
}
"
VULN-CWE120-006,CWE-120,Buffer Copy without Checking Size of Input,1,"
void process_user_input_5(const char *input) {
    char buffer[128];
    // Unbounded string copy vulnerability
    strcpy(buffer, input);
    printf(""User input: %s\n"", buffer);
}
"
